         ps       /top/SCLK                    
          delta        /top/LAT                
                           /top/SDO            
                        /top/led/i_state       
          0  +0           x   x   x    x 
         10  +1           x   x   x    0 
         30  +2           0   0   x    0 
         90  +1           0   0   x    1 
        110  +3           0   0   1    1 
        130  +2           1   0   1    1 
        150  +2           0   0   1    1 
        170  +2           1   0   1    1 
        190  +2           0   0   1    1 
        190  +3           0   0   0    1 
        210  +2           1   0   0    1 
        230  +2           0   0   0    1 
        250  +2           1   0   0    1 
        270  +2           0   0   0    1 
        270  +3           0   0   1    1 
        290  +2           1   0   1    1 
        310  +2           0   0   1    1 
        310  +3           0   0   0    1 
        330  +2           1   0   0    1 
        350  +2           0   0   0    1 
        350  +3           0   0   1    1 
        370  +2           1   0   1    1 
        390  +2           0   0   1    1 
        410  +2           1   0   1    1 
        430  +2           0   0   1    1 
        430  +3           0   0   0    1 
        450  +1           0   0   0    2 
        450  +2           1   0   0    2 
        470  +2           0   0   0    2 
        490  +2           1   0   0    2 
        510  +2           0   0   0    2 
        530  +2           1   0   0    2 
        550  +2           0   0   0    2 
        570  +2           1   0   0    2 
        590  +2           0   0   0    2 
        610  +2           1   0   0    2 
        630  +2           0   0   0    2 
        650  +2           1   0   0    2 
        670  +2           0   0   0    2 
        690  +2           1   0   0    2 
        710  +2           0   0   0    2 
        730  +2           1   0   0    2 
        750  +2           0   0   0    2 
        770  +2           1   0   0    2 
        790  +2           0   0   0    2 
        810  +2           1   0   0    2 
        830  +2           0   0   0    2 
        850  +2           1   0   0    2 
        870  +2           0   0   0    2 
        890  +2           1   0   0    2 
        910  +2           0   0   0    2 
        930  +2           1   0   0    2 
        950  +2           0   0   0    2 
        970  +2           1   0   0    2 
        990  +2           0   0   0    2 
       1010  +2           1   0   0    2 
       1030  +2           0   0   0    2 
       1050  +2           1   0   0    2 
       1070  +2           0   0   0    2 
       1090  +2           1   0   0    2 
       1110  +2           0   0   0    2 
       1130  +2           1   0   0    2 
       1150  +2           0   0   0    2 
       1170  +2           1   0   0    2 
       1190  +2           0   0   0    2 
       1210  +2           1   0   0    2 
       1230  +2           0   0   0    2 
       1250  +2           1   0   0    2 
       1270  +2           0   0   0    2 
       1290  +2           1   0   0    2 
       1310  +2           0   0   0    2 
       1330  +2           1   0   0    2 
       1350  +2           0   0   0    2 
       1370  +2           1   0   0    2 
       1390  +2           0   0   0    2 
       1410  +2           1   0   0    2 
       1430  +2           0   0   0    2 
       1450  +2           1   0   0    2 
       1470  +2           0   0   0    2 
       1490  +2           1   0   0    2 
       1510  +2           0   0   0    2 
       1530  +2           1   0   0    2 
       1550  +2           0   0   0    2 
       1570  +2           1   0   0    2 
       1590  +2           0   0   0    2 
       1610  +2           1   0   0    2 
       1630  +2           0   0   0    2 
       1650  +2           1   0   0    2 
       1670  +2           0   0   0    2 
       1690  +2           1   0   0    2 
       1710  +2           0   0   0    2 
       1730  +2           1   0   0    2 
       1750  +2           0   0   0    2 
       1770  +2           1   0   0    2 
       1790  +2           0   0   0    2 
       1810  +2           1   0   0    2 
       1830  +2           0   0   0    2 
       1850  +2           1   0   0    2 
       1870  +2           0   0   0    2 
       1890  +2           1   0   0    2 
       1910  +2           0   0   0    2 
       1930  +2           1   0   0    2 
       1950  +2           0   0   0    2 
       1970  +2           1   0   0    2 
       1990  +2           0   0   0    2 
       2010  +2           1   0   0    2 
       2030  +2           0   0   0    2 
       2050  +2           1   0   0    2 
       2070  +2           0   0   0    2 
       2090  +2           1   0   0    2 
       2110  +2           0   0   0    2 
       2130  +2           1   0   0    2 
       2150  +2           0   0   0    2 
       2170  +2           1   0   0    2 
       2190  +2           0   0   0    2 
       2210  +2           1   0   0    2 
       2230  +2           0   0   0    2 
       2250  +2           1   0   0    2 
